variable_name,metadata
flight_identifier,
site_identifier,
date_time_start,
date_time_end,
flight_bound,
flight_height,
forward_overlap,
side_overlap,
flight_speed,
weather_condition,
brightness,
light_type,
cloud_cover,
cloud_type,
surface_wetness,
last_rain,
