variable_name,metadata
make_model,
airframe_type,
max_weight,
platform_serial_num,
registration,
motor_type,
propellor_type,
flight_controller,
battery_type,
gimbal_type,
navigation,
imu,
radio_model,
control_model,
platform_images,
